dataset,model,model_raw,seed,stage,method,lambda_steck,F_in,InputGain,NDCG@10,Recall@10,F_out,Tail,Tail/Head,l_exp_mean,l_exp_median,l_exp_p90,l_exp_p95,n_users,E_out,T,checkpoint,delta_F_out_vs_lam0,RelativeUtilityLoss
lastfm,lightgcn,weighted_lightgcn,1,POST_LEARNING,steck_catalog,0.5,0.602904152661743,0.0,0.1291666408738943,0.1361641896673743,0.8302187120679319,0.0153397027600849,0.016490727532097,0.8433272341006051,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9302016985138004, 0.035721868365180466, 0.018736730360934182, 0.015339702760084926]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-51-28.pth,0.0418789808917197,0.0088570051476927
lastfm,lightgcn,weighted_lightgcn,1,POST_LEARNING,steck_catalog,0.75,0.602904152661743,0.0,0.1284369018357111,0.1358457183297947,0.8180637226836431,0.0170382165605095,0.018559204440333,0.8398243895379044,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9180467091295117, 0.04347133757961783, 0.021443736730360933, 0.017038216560509554]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-51-28.pth,0.0540339702760084,0.014456560349192
lastfm,lightgcn,weighted_lightgcn,1,POST_LEARNING,steck_catalog,0.9,0.602904152661743,0.0,0.1283338761342277,0.1357395612172682,0.8134458882887386,0.0170912951167728,0.0187111395200185,0.8398243774971726,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9134288747346072, 0.04676220806794055, 0.022717622080679404, 0.017091295116772823]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-51-28.pth,0.0586518046709129,0.0152471143314283
lastfm,lightgcn,weighted_lightgcn,1,POST_LEARNING,steck_catalog,1.0,0.602904152661743,0.0,0.1283372663537522,0.1357395612172682,0.8101019392441526,0.017144373673036,0.0188382129942843,0.8398243955582705,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9100849256900212, 0.04994692144373673, 0.022823779193205943, 0.017144373673036093]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-51-28.pth,0.0619957537154989,0.0152210999339807
lastfm,lightgcn,weighted_lightgcn,2,POST_LEARNING,steck_catalog,0.0,0.6033079483411292,0.0,0.1304844876122772,0.1335456475583864,0.8692845294776983,0.0089171974522292,0.0091999342861836,0.8838272772666287,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9692675159235669, 0.018630573248407643, 0.0031847133757961785, 0.008917197452229299]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-52-15.pth,0.0,0.0
lastfm,lightgcn,weighted_lightgcn,2,POST_LEARNING,steck_catalog,0.1,0.6033079483411292,0.0,0.1296117662047953,0.132484076433121,0.851927841579609,0.011624203821656,0.0122114419538307,0.8626489604092309,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9519108280254777, 0.026220806794055203, 0.01024416135881104, 0.01162420382165605]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-52-15.pth,0.0173566878980893,0.0066883153963489
lastfm,lightgcn,weighted_lightgcn,2,POST_LEARNING,steck_catalog,0.25,0.6033079483411292,0.0,0.1291203893324547,0.1323779193205944,0.8397728521953203,0.0148619957537154,0.0158147415984185,0.8495912924076083,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.939755838641189, 0.029883227176220807, 0.015498938428874735, 0.014861995753715499]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-52-15.pth,0.029511677282378,0.0104541030492132
lastfm,lightgcn,weighted_lightgcn,2,POST_LEARNING,steck_catalog,0.5,0.6033079483411292,0.0,0.1265772463643301,0.131104033970276,0.8220446144033884,0.0169851380042462,0.0184215071095504,0.8367983218350364,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.922027600849257, 0.038694267515923565, 0.022292993630573247, 0.016985138004246284]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-52-15.pth,0.0472399150743099,0.0299441053832937
lastfm,lightgcn,weighted_lightgcn,2,POST_LEARNING,steck_catalog,0.75,0.6033079483411292,0.0,0.1259345746698998,0.1302547770700637,0.8088280538938342,0.0195329087048832,0.0214928162597827,0.832817923785298,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9088110403397027, 0.045806794055201695, 0.025849256900212315, 0.019532908704883226]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-52-15.pth,0.0604564755838641,0.0348693781585519
lastfm,lightgcn,weighted_lightgcn,2,POST_LEARNING,steck_catalog,0.9,0.6033079483411292,0.0,0.1255618059410991,0.129723991507431,0.8041040623864032,0.0195859872611464,0.0216638290377502,0.8328179147547491,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9040870488322718, 0.04920382165605096, 0.027123142250530786, 0.019585987261146496]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-52-15.pth,0.0651804670912951,0.0377261830985256
lastfm,lightgcn,weighted_lightgcn,2,POST_LEARNING,steck_catalog,1.0,0.6033079483411292,0.0,0.1254431326204212,0.1296178343949044,0.8004416420042376,0.0195859872611464,0.0217519452959207,0.832817923785298,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9004246284501062, 0.05281316348195329, 0.027176220806794056, 0.019585987261146496]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-52-15.pth,0.0688428874734606,0.0386356653124615
lastfm,ngcf,weighted_ngcf,0,POST_LEARNING,steck_catalog,0.0,0.6032541089172111,0.0,0.1562814935573166,0.1661270346779901,0.8561210475244074,0.0071656050955414,0.007494587242547,0.8754934803651185,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.956104033970276, 0.02951167728237792, 0.007218683651804671, 0.007165605095541401]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-53-03.pth,0.0,0.0
