dataset,model,seed,budget,post_lambda,post_util_loss,post_delta_F_out,post_F_out,post_Tail,pre_label,pre_family,pre_util_loss,pre_OutputGain,pre_F_out,pre_Tail,pre_InputGain
ml1m,lightgcn,0,0.025,0.1,0.04226790866838624,0.12033112582781447,0.6703495356020559,0.005049668874172185,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061
ml1m,lightgcn,0,0.05,0.1,0.04226790866838624,0.12033112582781447,0.6703495356020559,0.005049668874172185,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061
ml1m,lightgcn,0,0.1,0.25,0.09673807419424933,0.18348481126631733,0.607195850163553,0.007433774834437086,kl_lam8.0,kl,0.0005314125016378,0.004139072847682,0.7865415885821884,0.0005298013245033,0.0216676015058061
ml1m,lightgcn,1,0.01,0.1,0.04256830503211888,0.11687086092715226,0.6704488733504003,0.005,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115
ml1m,lightgcn,1,0.025,0.1,0.04256830503211888,0.11687086092715226,0.6704488733504003,0.005,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115
ml1m,lightgcn,1,0.05,0.1,0.04256830503211888,0.11687086092715226,0.6704488733504003,0.005,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115
ml1m,lightgcn,1,0.1,0.25,0.09984580494002687,0.1791967317961186,0.6081230024814339,0.0074503311258278145,kl_lam0.1,kl,0.0,0.0336754966887417,0.7536442375888108,0.0050662251655629,0.4152754099525115
ml1m,lightgcn,2,0.01,0.1,0.042981134876891175,0.11836092715231772,0.6698197342775526,0.004685430463576159,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248
ml1m,lightgcn,2,0.025,0.1,0.042981134876891175,0.11836092715231772,0.6698197342775526,0.004685430463576159,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248
ml1m,lightgcn,2,0.05,0.1,0.042981134876891175,0.11836092715231772,0.6698197342775526,0.004685430463576159,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248
ml1m,lightgcn,2,0.1,0.25,0.0996466769036932,0.18116693047161525,0.6070137309582551,0.007235099337748344,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248
ml1m,ngcf,0,0.01,0.1,0.06960914533749171,0.08859271523178813,0.5799607508258048,0.013940397350993377,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081
ml1m,ngcf,0,0.025,0.1,0.06960914533749171,0.08859271523178813,0.5799607508258048,0.013940397350993377,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081
ml1m,ngcf,0,0.05,0.1,0.06960914533749171,0.08859271523178813,0.5799607508258048,0.013940397350993377,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081
ml1m,ngcf,0,0.1,0.1,0.06960914533749171,0.08859271523178813,0.5799607508258048,0.013940397350993377,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081
ml1m,ngcf,1,0.01,0.1,0.07209295775944312,0.09097682119205308,0.574579956123818,0.01586092715231788,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555
ml1m,ngcf,1,0.025,0.1,0.07209295775944312,0.09097682119205308,0.574579956123818,0.01586092715231788,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555
ml1m,ngcf,1,0.05,0.1,0.07209295775944312,0.09097682119205308,0.574579956123818,0.01586092715231788,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555
ml1m,ngcf,1,0.1,0.1,0.07209295775944312,0.09097682119205308,0.574579956123818,0.01586092715231788,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555
ml1m,ngcf,2,0.01,0.1,0.07451991167856832,0.09513245033112594,0.5688349230112352,0.018294701986754966,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594
ml1m,ngcf,2,0.025,0.1,0.07451991167856832,0.09513245033112594,0.5688349230112352,0.018294701986754966,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594
ml1m,ngcf,2,0.05,0.1,0.07451991167856832,0.09513245033112594,0.5688349230112352,0.018294701986754966,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594
ml1m,ngcf,2,0.1,0.1,0.07451991167856832,0.09513245033112594,0.5688349230112352,0.018294701986754966,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594
