dataset,dataset_name,model,model_raw,seed,intervention_family,intervention_family_code,intervention_parameter,label,configuration_type,F_in_baseline,F_in_intervention,F_out_baseline,F_out_intervention,InputGain,OutputGain,realization_ratio,attenuated_frozen,reversed_frozen,NDCG10_baseline,NDCG10_intervention,relative_NDCG_loss,Recall10_baseline,Recall10_intervention,evidence_tier
lastfm,LastFM,LightGCN,weighted_lightgcn,0,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6032541089172111,0.4355284528727479,0.8710361218343863,0.8599427035753628,0.1677256560444632,0.0110934182590234,0.06614025856654031,True,False,0.1369545934669171,0.1379073105464906,0.0,0.1432855626326951,0.1450902335456461,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,0,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.6032541089172111,0.5640463446269299,0.8710361218343863,0.8671613872271675,0.0392077642902811,0.0038747346072187,0.09882569632207204,True,False,0.1369545934669171,0.1371098675802569,0.0,0.1432855626326951,0.1432855626326951,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,0,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.6032541089172111,0.5401316419454345,0.8710361218343863,0.86493208786411,0.0631224669717765,0.0061040339702762,0.09670144820235643,True,False,0.1369545934669171,0.1370613421768177,0.0,0.1432855626326951,0.1432855626326951,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,0,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.6032541089172111,0.4706970075875144,0.8710361218343863,0.8578195613248321,0.1325571013296966,0.0132165605095542,0.09970465842250059,True,False,0.1369545934669171,0.1381212845578007,0.0,0.1432855626326951,0.1448779193205931,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,0,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.6032541089172111,0.344985954584635,0.8710361218343863,0.8442845294776983,0.2582681543325761,0.026751592356688,0.10358068506672928,True,False,0.1369545934669171,0.1395231864409243,0.0,0.1432855626326951,0.1459394904458584,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,0,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.6032541089172111,0.0984305471758753,0.8710361218343863,0.8032017269299276,0.5048235617413357,0.0678343949044586,0.13437248188351392,True,False,0.1369545934669171,0.1384236198324852,0.0,0.1432855626326951,0.1439225053078541,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,1,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.602904152661743,0.0963935595894326,0.8720976929596516,0.8163652088832185,0.5065105930723104,0.055732484076433,0.11003221815832097,True,False,0.1303208937002497,0.1332152133078624,0.0,0.1376503892427447,0.1389154281670191,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,1,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.602904152661743,0.2152397605890091,0.8720976929596516,0.8446560793715412,0.3876643920727339,0.0274416135881103,0.07078703680105261,True,False,0.1303208937002497,0.1333399053231564,0.0,0.1376503892427447,0.1397646850672314,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,1,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.602904152661743,0.4350394587500372,0.8720976929596516,0.8636051239575284,0.1678646939117058,0.0084925690021231,0.05059175222748185,True,False,0.1303208937002497,0.132936928551511,0.0,0.1376503892427447,0.1399858457183284,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,1,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.602904152661743,0.5637728324895577,0.8720976929596516,0.8698683935965943,0.0391313201721853,0.0022292993630572,0.05696969469079643,True,False,0.1303208937002497,0.1310467895266575,0.0,0.1376503892427447,0.1386058032554835,PRIMARY
