dataset,model,seed,budget,post_lambda,post_util_loss,post_delta_F_out,post_F_out,post_Tail,pre_label,pre_family,pre_util_loss,pre_OutputGain,pre_F_out,pre_Tail,pre_InputGain,post_InputGain
ml1m,lightgcn,2,0.01,0.1,0.0429811348768911,0.1183609271523177,0.6698197342775526,0.0046854304635761,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248,0.0
ml1m,lightgcn,2,0.025,0.1,0.0429811348768911,0.1183609271523177,0.6698197342775526,0.0046854304635761,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248,0.0
ml1m,lightgcn,2,0.05,0.1,0.0429811348768911,0.1183609271523177,0.6698197342775526,0.0046854304635761,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248,0.0
ml1m,lightgcn,2,0.1,0.25,0.0996466769036932,0.1811669304716152,0.6070137309582551,0.0072350993377483,legacy_a0.2,legacy,0.002621213886602,0.0122185430463577,0.7759621183835128,0.0004635761589403,0.073674890798248,0.0
ml1m,ngcf,0,0.01,0.1,0.0696091453374917,0.0885927152317881,0.5799607508258048,0.0139403973509933,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081,0.0
ml1m,ngcf,0,0.025,0.1,0.0696091453374917,0.0885927152317881,0.5799607508258048,0.0139403973509933,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081,0.0
ml1m,ngcf,0,0.05,0.1,0.0696091453374917,0.0885927152317881,0.5799607508258048,0.0139403973509933,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081,0.0
ml1m,ngcf,0,0.1,0.1,0.0696091453374917,0.0885927152317881,0.5799607508258048,0.0139403973509933,kl_lam2.0,kl,0.0058960279292031,-0.0127563344451252,0.6813098005027182,0.0001490066225165,0.1101299941890081,0.0
ml1m,ngcf,1,0.01,0.1,0.0720929577594431,0.090976821192053,0.574579956123818,0.0158609271523178,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555,0.0
ml1m,ngcf,1,0.025,0.1,0.0720929577594431,0.090976821192053,0.574579956123818,0.0158609271523178,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555,0.0
ml1m,ngcf,1,0.05,0.1,0.0720929577594431,0.090976821192053,0.574579956123818,0.0158609271523178,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555,0.0
ml1m,ngcf,1,0.1,0.1,0.0720929577594431,0.090976821192053,0.574579956123818,0.0158609271523178,legacy_a0.2,legacy,0.0083918722284221,-0.0025331125827814,0.6680898898986525,0.0003807947019867,0.0737120019341555,0.0
ml1m,ngcf,2,0.01,0.1,0.0745199116785683,0.0951324503311259,0.5688349230112352,0.0182947019867549,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594,0.0
ml1m,ngcf,2,0.025,0.1,0.0745199116785683,0.0951324503311259,0.5688349230112352,0.0182947019867549,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594,0.0
ml1m,ngcf,2,0.05,0.1,0.0745199116785683,0.0951324503311259,0.5688349230112352,0.0182947019867549,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594,0.0
ml1m,ngcf,2,0.1,0.1,0.0745199116785683,0.0951324503311259,0.5688349230112352,0.0182947019867549,kl_lam0.1,kl,0.0,-0.0096523178807946,0.6736196912231558,0.0002649006622516,0.4154656678391594,0.0
