InputGain,OutputGain,dataset,dataset_name,model,intervention_family,seed,intervention_parameter,realization_ratio,reversed_frozen
0.3876643920727339,0.2249469214437367,lastfm,LastFM,ItemKNN,minimum-perturbation KL,1,0.5,0.5802620154020542,False
0.1678646939117058,0.0821125265392781,lastfm,LastFM,ItemKNN,minimum-perturbation KL,1,2.0,0.4891590043494673,False
0.0391313201721853,0.0209129511677281,lastfm,LastFM,ItemKNN,minimum-perturbation KL,1,8.0,0.5344299930517834,False
0.0629938730894987,0.0359872611464968,lastfm,LastFM,ItemKNN,inverse-power,1,0.1,0.5712819260274378,False
0.1322930568850213,0.078556263269639,lastfm,LastFM,ItemKNN,inverse-power,1,0.2,0.5938048837885266,False
0.2565817590352239,0.2004777070063694,lastfm,LastFM,ItemKNN,inverse-power,1,0.4,0.7813404497661408,False
0.5038579953376617,0.4373142250530785,lastfm,LastFM,ItemKNN,inverse-power,1,0.8,0.8679314987549444,False
0.5068456495361711,0.3772292993630573,lastfm,LastFM,ItemKNN,minimum-perturbation KL,2,0.1,0.7442685948044945,False
0.3878238622080342,0.2369957537154989,lastfm,LastFM,ItemKNN,minimum-perturbation KL,2,0.5,0.6110912112684057,False
0.1678791863021119,0.0852972399150743,lastfm,LastFM,ItemKNN,minimum-perturbation KL,2,2.0,0.5080870463690189,False
0.0391606835696599,0.0200636942675159,lastfm,LastFM,ItemKNN,minimum-perturbation KL,2,8.0,0.5123427999367313,False
0.0630355432859616,0.0347133757961783,lastfm,LastFM,ItemKNN,inverse-power,2,0.1,0.5506952742312475,False
0.1323946669345214,0.0820063694267516,lastfm,LastFM,ItemKNN,inverse-power,2,0.2,0.61940840462486,False
0.2571152872796564,0.2138004246284501,lastfm,LastFM,ItemKNN,inverse-power,2,0.4,0.831535249772628,False
0.5043853412477096,0.4479830148619957,lastfm,LastFM,ItemKNN,inverse-power,2,0.8,0.8881761189843659,False
0.5067784724855492,0.0540339702760086,lastfm,LastFM,LightGCN,minimum-perturbation KL,0,0.1,0.10662246565248365,False
0.3875019064414419,0.0291401273885351,lastfm,LastFM,LightGCN,minimum-perturbation KL,0,0.5,0.0751999587721736,False
0.1677256560444632,0.0110934182590234,lastfm,LastFM,LightGCN,minimum-perturbation KL,0,2.0,0.06614025856654031,False
0.0392077642902811,0.0038747346072187,lastfm,LastFM,LightGCN,minimum-perturbation KL,0,8.0,0.09882569632207204,False
0.0631224669717765,0.0061040339702762,lastfm,LastFM,LightGCN,inverse-power,0,0.1,0.09670144820235643,False
0.1325571013296966,0.0132165605095542,lastfm,LastFM,LightGCN,inverse-power,0,0.2,0.09970465842250059,False
0.2582681543325761,0.026751592356688,lastfm,LastFM,LightGCN,inverse-power,0,0.4,0.10358068506672928,False
0.5048235617413357,0.0678343949044586,lastfm,LastFM,LightGCN,inverse-power,0,0.8,0.13437248188351392,False
0.5065105930723104,0.055732484076433,lastfm,LastFM,LightGCN,minimum-perturbation KL,1,0.1,0.11003221815832097,False
0.3876643920727339,0.0274416135881103,lastfm,LastFM,LightGCN,minimum-perturbation KL,1,0.5,0.07078703680105261,False
0.1678646939117058,0.0084925690021231,lastfm,LastFM,LightGCN,minimum-perturbation KL,1,2.0,0.05059175222748185,False
0.0391313201721853,0.0022292993630572,lastfm,LastFM,LightGCN,minimum-perturbation KL,1,8.0,0.05696969469079643,False
0.0629938730894987,0.0041932059447982,lastfm,LastFM,LightGCN,inverse-power,1,0.1,0.06656529816543733,False
0.1322930568850213,0.0106157112526539,lastfm,LastFM,LightGCN,inverse-power,1,0.2,0.0802439032146656,False
0.2565817590352239,0.0225053078556263,lastfm,LastFM,LightGCN,inverse-power,1,0.4,0.08771203354536493,False
0.5038579953376617,0.0686836518046709,lastfm,LastFM,LightGCN,inverse-power,1,0.8,0.1363154945246872,False
0.5068456495361711,0.057484076433121,lastfm,LastFM,LightGCN,minimum-perturbation KL,2,0.1,0.11341534939823657,False
0.3878238622080342,0.0283439490445859,lastfm,LastFM,LightGCN,minimum-perturbation KL,2,0.5,0.07308459279223464,False
0.1678791863021119,0.010031847133758,lastfm,LastFM,LightGCN,minimum-perturbation KL,2,2.0,0.059756348328403826,False
0.0391606835696599,0.0031847133757961,lastfm,LastFM,LightGCN,minimum-perturbation KL,2,8.0,0.08132425395820941,False
0.0630355432859616,0.0054140127388535,lastfm,LastFM,LightGCN,inverse-power,2,0.1,0.08588825377918546,False
0.1323946669345214,0.0118895966029723,lastfm,LastFM,LightGCN,inverse-power,2,0.2,0.08980419588088509,False
0.2571152872796564,0.0250530785562632,lastfm,LastFM,LightGCN,inverse-power,2,0.4,0.0974390858720654,False
0.5043853412477096,0.0723460721868365,lastfm,LastFM,LightGCN,inverse-power,2,0.8,0.14343412916773585,False
0.5067784724855492,0.0122611464968153,lastfm,LastFM,NeuMF,minimum-perturbation KL,0,0.1,0.02419429230424725,False
0.3875019064414419,0.0036624203821656,lastfm,LastFM,NeuMF,minimum-perturbation KL,0,0.5,0.00945136093857916,False
0.1677256560444632,-0.0044055201698514,lastfm,LastFM,NeuMF,minimum-perturbation KL,0,2.0,-0.026266227086233718,True
0.0392077642902811,-0.0040870488322717,lastfm,LastFM,NeuMF,minimum-perturbation KL,0,8.0,-0.10424080296985477,True
