intervention_family,intervention_parameter,InputGain,OutputGain,realization_ratio,relative_NDCG_loss,dataset,model
minimum-perturbation KL,0.5,0.3093633907952406,0.1581291390728477,0.5111436704464788,0.2340940498469902,ml1m,BPR
minimum-perturbation KL,2.0,0.1099903482838854,0.0491887417218543,0.44720961874671056,0.0547818059572939,ml1m,BPR
minimum-perturbation KL,8.0,0.0216863022513934,0.003658940397351,0.16872126722829864,0.006460174757262,ml1m,BPR
inverse-power,0.1,0.0348141590386597,0.0188079470198676,0.5402384414623413,0.0133548551590273,ml1m,BPR
inverse-power,0.2,0.0737120019341555,0.0436834867630061,0.5926238009656436,0.035852123416465,ml1m,BPR
inverse-power,0.4,0.163495346497019,0.0802894470279068,0.4910809313424142,0.1073051089510581,ml1m,BPR
inverse-power,0.8,0.3686123090055865,0.1340894039735101,0.3637681127232187,0.3555712329926574,ml1m,BPR
minimum-perturbation KL,0.1,0.4154656678391594,0.2681622516556291,0.645449846795629,0.3657215980299647,ml1m,BPR
minimum-perturbation KL,0.5,0.3096047471034181,0.1466059602649007,0.4735262028005323,0.2287705058764177,ml1m,BPR
minimum-perturbation KL,2.0,0.1100876450201697,0.0403311258278146,0.36635469693647577,0.0620842838780856,ml1m,BPR
minimum-perturbation KL,8.0,0.0216757730450404,-0.0041059602649007,-0.1894262435931981,0.0119969635608079,ml1m,BPR
inverse-power,0.1,0.0347932372618157,0.0115728476821191,0.33261773243560394,0.0187718644993913,ml1m,BPR
inverse-power,0.2,0.073674890798248,0.0452397781537345,0.6140460835920276,0.0446047670314733,ml1m,BPR
inverse-power,0.4,0.1634516635935726,0.1008026920610193,0.6167125488038359,0.1090627306120229,ml1m,BPR
inverse-power,0.8,0.3686456797337377,0.2591967317961186,0.7031053015006958,0.3597124859236481,ml1m,BPR
minimum-perturbation KL,0.1,0.4155275210377668,0.3925827814569536,0.9447816608548347,0.3378087264126732,ml1m,ItemKNN
minimum-perturbation KL,0.5,0.3097073730832871,0.1978311258278144,0.6387678919565576,0.135816941314475,ml1m,ItemKNN
minimum-perturbation KL,2.0,0.1101299941890081,0.0511754966887416,0.46468264223198646,0.0076044931011821,ml1m,ItemKNN
minimum-perturbation KL,8.0,0.0216676015058061,0.013658940397351,0.6303854348480112,0.001121529907948,ml1m,ItemKNN
inverse-power,0.1,0.0347782591090517,0.0242384105960264,0.6969414575934854,0.0009206749074837,ml1m,ItemKNN
inverse-power,0.2,0.0736462085067679,0.0550993377483443,0.7481625852236617,0.005347634124263,ml1m,ItemKNN
inverse-power,0.4,0.1634067766214311,0.1213324933855226,0.7425181249772577,0.044212526191382,ml1m,ItemKNN
inverse-power,0.8,0.3685994817315625,0.3691967317961186,1.0016203225836087,0.3327336415732506,ml1m,ItemKNN
minimum-perturbation KL,0.1,0.4152754099525115,0.3883609271523179,0.9351888357577652,0.3416459473468673,ml1m,ItemKNN
minimum-perturbation KL,0.5,0.3093633907952406,0.1931456953642385,0.6243327462494633,0.138055107970968,ml1m,ItemKNN
minimum-perturbation KL,2.0,0.1099903482838854,0.049155629139073,0.44690856885189767,0.0112434034803923,ml1m,ItemKNN
minimum-perturbation KL,8.0,0.0216863022513934,0.0136423841059603,0.6290783900276841,0.0014260117705945,ml1m,ItemKNN
inverse-power,0.1,0.0348141590386597,0.0241887417218543,0.6947960941694352,0.0017499453258219,ml1m,ItemKNN
inverse-power,0.2,0.0737120019341555,0.0538079470198675,0.7299753853915454,0.0101239904704889,ml1m,ItemKNN
inverse-power,0.4,0.163495346497019,0.1173920960345293,0.7180149071500925,0.0450179978449217,ml1m,ItemKNN
inverse-power,0.8,0.3686123090055865,0.3612165993457876,0.979936346456388,0.3359645243312042,ml1m,ItemKNN
minimum-perturbation KL,0.1,0.4154656678391594,0.3921026490066225,0.9437666680040059,0.3512165545931814,ml1m,ItemKNN
minimum-perturbation KL,0.5,0.3096047471034181,0.1945695364238411,0.6284449390527223,0.142640038834404,ml1m,ItemKNN
minimum-perturbation KL,2.0,0.1100876450201697,0.0491059602649006,0.44606241014514986,0.0108879469333611,ml1m,ItemKNN
minimum-perturbation KL,8.0,0.0216757730450404,0.0128311258278145,0.5919570112287353,0.0,ml1m,ItemKNN
inverse-power,0.1,0.0347932372618157,0.0236258278145695,0.6790350560595285,9.929153679681127e-05,ml1m,ItemKNN
inverse-power,0.2,0.073674890798248,0.0528476821192053,0.7173092697744727,0.0090843721666354,ml1m,ItemKNN
inverse-power,0.4,0.1634516635935726,0.1212828245113504,0.7420103402124052,0.0500458372919691,ml1m,ItemKNN
inverse-power,0.8,0.3686456797337377,0.3674748774914829,0.9968240445863886,0.3407227259693208,ml1m,ItemKNN
minimum-perturbation KL,0.1,0.4155275210377668,0.0344205298013243,0.08283574025460484,0.0,ml1m,LightGCN
minimum-perturbation KL,0.5,0.3097073730832871,0.0191887417218542,0.06195765225354815,0.0,ml1m,LightGCN
minimum-perturbation KL,2.0,0.1101299941890081,0.0114072847682118,0.1035801813322019,0.0,ml1m,LightGCN
minimum-perturbation KL,8.0,0.0216676015058061,0.004139072847682,0.19102588934787657,0.0005314125016378,ml1m,LightGCN
inverse-power,0.1,0.0347782591090517,0.0070529801324502,0.2027985388899046,0.0,ml1m,LightGCN
inverse-power,0.2,0.0736462085067679,0.0136423841059601,0.18524217855297195,0.000481321474,ml1m,LightGCN
inverse-power,0.4,0.1634067766214311,0.0261423841059601,0.15998347587826708,0.0,ml1m,LightGCN
inverse-power,0.8,0.3685994817315625,0.0464403973509932,0.12599148846555905,0.0,ml1m,LightGCN
minimum-perturbation KL,0.1,0.4152754099525115,0.0336754966887417,0.08109195941217091,0.0,ml1m,LightGCN
minimum-perturbation KL,0.5,0.3093633907952406,0.0208940397350992,0.06753882442712301,0.0,ml1m,LightGCN
minimum-perturbation KL,2.0,0.1099903482838854,0.0102152317880794,0.09287389255022502,0.0,ml1m,LightGCN
minimum-perturbation KL,8.0,0.0216863022513934,0.0032947019867549,0.15192548497027458,0.0,ml1m,LightGCN
inverse-power,0.1,0.0348141590386597,0.0063741721854303,0.18309137320686225,0.0,ml1m,LightGCN
inverse-power,0.2,0.0737120019341555,0.0127649006622516,0.17317262219596294,0.0,ml1m,LightGCN
inverse-power,0.4,0.163495346497019,0.0257450331125826,0.15746645800131082,0.0,ml1m,LightGCN
inverse-power,0.8,0.3686123090055865,0.0454470198675497,0.123292192792349,0.0,ml1m,LightGCN
minimum-perturbation KL,0.1,0.4154656678391594,0.034023178807947,0.0818916734682359,0.0,ml1m,LightGCN
minimum-perturbation KL,0.5,0.3096047471034181,0.0184933774834438,0.05973221553113463,0.0,ml1m,LightGCN
minimum-perturbation KL,2.0,0.1100876450201697,0.0099503311258279,0.09038553894040381,0.0006184140755002,ml1m,LightGCN
minimum-perturbation KL,8.0,0.0216757730450404,0.0034602649006623,0.15963743915717174,0.0013715964770285,ml1m,LightGCN
inverse-power,0.1,0.0347932372618157,0.0065562913907285,0.18843579691631018,0.0023434885230815,ml1m,LightGCN
inverse-power,0.2,0.073674890798248,0.0122185430463577,0.16584406049297137,0.002621213886602,ml1m,LightGCN
inverse-power,0.4,0.1634516635935726,0.0252980132450332,0.1547736663478535,0.0003874344079447,ml1m,LightGCN
inverse-power,0.8,0.3686456797337377,0.0464238410596027,0.12593078831992097,0.0015771158413224,ml1m,LightGCN
minimum-perturbation KL,0.1,0.4155275210377668,0.0802814569536424,0.19320370586559948,0.3456191769881295,ml1m,NeuMF
minimum-perturbation KL,0.5,0.3097073730832871,-0.0549503311258277,-0.17742661590123124,0.2111610084967143,ml1m,NeuMF
minimum-perturbation KL,2.0,0.1101299941890081,0.030090771531218,0.27322957521976615,0.0734212141330881,ml1m,NeuMF
minimum-perturbation KL,8.0,0.0216676015058061,0.0134516986835359,0.6208208453497427,0.024351707378289,ml1m,NeuMF
inverse-power,0.1,0.0347782591090517,0.0245940827894961,0.7071683120301737,0.036844898577135,ml1m,NeuMF
inverse-power,0.2,0.0736462085067679,0.0151569966967809,0.20580824191903932,0.0632626796962328,ml1m,NeuMF
inverse-power,0.4,0.1634067766214311,0.0458689172265822,0.28070388618489156,0.1228910014967633,ml1m,NeuMF
inverse-power,0.8,0.3685994817315625,0.1322019867549669,0.35866026217379426,0.3091137858339769,ml1m,NeuMF
minimum-perturbation KL,0.1,0.4152754099525115,0.1468046357615894,0.35351150644430673,0.3386426774447631,ml1m,NeuMF
minimum-perturbation KL,0.5,0.3093633907952406,0.1384933774834437,0.44767216032716933,0.2187117939097218,ml1m,NeuMF
minimum-perturbation KL,2.0,0.1099903482838854,0.0094701986754967,0.08610026991690298,0.0662231523940126,ml1m,NeuMF
minimum-perturbation KL,8.0,0.0216863022513934,0.0286258278145694,1.3199957965507982,0.0213552560552473,ml1m,NeuMF
inverse-power,0.1,0.0348141590386597,0.0488324933855226,1.402661869019904,0.0413426808869197,ml1m,NeuMF
inverse-power,0.2,0.0737120019341555,-0.0095033112582781,-0.1289248834506909,0.0404180965627768,ml1m,NeuMF
inverse-power,0.4,0.163495346497019,0.0813490496769133,0.4975618659482552,0.1052941608060024,ml1m,NeuMF
inverse-power,0.8,0.3686123090055865,0.1967795132530723,0.5338386929723772,0.3428495426106488,ml1m,NeuMF
minimum-perturbation KL,0.1,0.4154656678391594,0.2614735099337749,0.6293504618412898,0.3835817377151214,ml1m,NeuMF
minimum-perturbation KL,0.5,0.3096047471034181,0.1192549668874173,0.3851845554796427,0.2399164895551498,ml1m,NeuMF
minimum-perturbation KL,2.0,0.1100876450201697,0.0467629569616816,0.4247793378913131,0.0670312717402686,ml1m,NeuMF
minimum-perturbation KL,8.0,0.0216757730450404,0.0132199106040656,0.6098933854213991,0.0182144704883031,ml1m,NeuMF
inverse-power,0.1,0.0347932372618157,0.0193788510014167,0.556971771715082,0.0171029657952058,ml1m,NeuMF
inverse-power,0.2,0.073674890798248,0.0377232218623437,0.5120227726654569,0.0498132025556172,ml1m,NeuMF
inverse-power,0.4,0.1634516635935726,0.0673258708689663,0.41190079922572137,0.1140688918617059,ml1m,NeuMF
inverse-power,0.8,0.3686456797337377,0.2570609702067147,0.6973117666600149,0.3637479140884101,ml1m,NeuMF
minimum-perturbation KL,0.1,0.4155275210377668,-0.0108689172265821,-0.02615691302332352,0.0,ml1m,NGCF
minimum-perturbation KL,0.5,0.3097073730832871,-0.0018046357615892,-0.005826906035924092,0.0,ml1m,NGCF
minimum-perturbation KL,2.0,0.1101299941890081,-0.0127563344451252,-0.1158297931373031,0.0058960279292031,ml1m,NGCF
minimum-perturbation KL,8.0,0.0216676015058061,0.002930463576159,0.13524632965830327,0.0,ml1m,NGCF
inverse-power,0.1,0.0347782591090517,-0.0130874602729398,-0.3763115408365435,0.0,ml1m,NGCF
inverse-power,0.2,0.0736462085067679,-0.0117795132530722,-0.15994731421902994,0.0,ml1m,NGCF
inverse-power,0.4,0.1634067766214311,-0.0070113013325423,-0.04290704141839583,0.0013703550896551,ml1m,NGCF
inverse-power,0.8,0.3685994817315625,-0.0021357615894038,-0.005794260966864834,0.0,ml1m,NGCF
minimum-perturbation KL,0.1,0.4152754099525115,0.0005463576158941,0.001315651258899674,0.0056976109128248,ml1m,NGCF
minimum-perturbation KL,0.5,0.3093633907952406,-0.0002980132450329,-0.0009633112834289661,0.0,ml1m,NGCF
minimum-perturbation KL,2.0,0.1099903482838854,-0.0012582781456952,-0.011439896002943645,0.0,ml1m,NGCF
minimum-perturbation KL,8.0,0.0216863022513934,-0.0003476821192052,-0.01603233760992428,0.0074873873193078,ml1m,NGCF
inverse-power,0.1,0.0348141590386597,-0.0012251655629138,-0.03519158861638174,0.0012965077497097,ml1m,NGCF
inverse-power,0.2,0.0737120019341555,-0.0025331125827814,-0.03436499506612432,0.0083918722284221,ml1m,NGCF
inverse-power,0.4,0.163495346497019,-0.0001490066225164,-0.000911381428945544,0.0,ml1m,NGCF
inverse-power,0.8,0.3686123090055865,-0.0082284768211919,-0.022322848749652558,0.0024260181931264,ml1m,NGCF
minimum-perturbation KL,0.1,0.4154656678391594,-0.0096523178807946,-0.023232528288068637,0.0,ml1m,NGCF
minimum-perturbation KL,0.5,0.3096047471034181,-0.0036920529801324,-0.011925052876851186,0.0,ml1m,NGCF
minimum-perturbation KL,2.0,0.1100876450201697,-0.0031291390728476,-0.028424071314036146,0.0,ml1m,NGCF
minimum-perturbation KL,8.0,0.0216757730450404,-0.0059602649006621,-0.2749735794094716,0.0,ml1m,NGCF
inverse-power,0.1,0.0347932372618157,0.0008774834437087,0.02521994251657939,0.0,ml1m,NGCF
inverse-power,0.2,0.073674890798248,-0.002367549668874,-0.03213509573237536,0.0,ml1m,NGCF
inverse-power,0.4,0.1634516635935726,-0.0016887417218542,-0.010331749978717294,0.0,ml1m,NGCF
inverse-power,0.8,0.3686456797337377,0.0021192052980133,0.005748623717885266,0.0,ml1m,NGCF
