dataset,model,seed,family,label,strength,InputGain,OutputGain,TransferGap,UtilityChange,l_exp_mean,Tail,NDCG@10,l_exp_0,Tail_0,l_exp_change,Tail_change
ml1m,NGCF,0,legacy,legacy_a0.1,0.1,0.0347782591090517,-0.0130874602729398,0.047865719381991495,0.0010608322441904,0.7657839071239841,0.0002483443708609,0.2571231351474434,0.7546123719756966,0.0003807947019867,0.011171535148287504,-0.0001324503311258
ml1m,NGCF,0,legacy,legacy_a0.2,0.2,0.0736462085067679,-0.0117795132530722,0.08542572175984009,0.0016649756123728,0.7647908288775307,0.0003145695364238,0.2577272785156259,0.7546123719756966,0.0003807947019867,0.010178456901834054,-6.622516556289998e-05
ml1m,NGCF,0,legacy,legacy_a0.4,0.4,0.1634067766214311,-0.0070113013325423,0.1704180779539734,-0.0003508962800523,0.7622923518598249,0.000364238410596,0.2557114066232007,0.7546123719756966,0.0003807947019867,0.007679979884128274,-1.6556291390700016e-05
ml1m,NGCF,0,legacy,legacy_a0.8,0.8,0.3685994817315625,-0.0021357615894038,0.3707352433209663,0.0002543661830499,0.7602066834358481,0.0002317880794701,0.256316669086303,0.7546123719756966,0.0003807947019867,0.005594311460151435,-0.00014900662251659998
ml1m,NGCF,1,legacy,legacy_a0.1,0.1,0.0348141590386597,-0.0012251655629138,0.0360393246015735,-0.0003296555770838,0.7484883485155165,0.000546357615894,0.2539345994246053,0.7489850640545808,0.0006456953642384,-0.0004967155390642741,-9.933774834440003e-05
ml1m,NGCF,1,legacy,legacy_a0.2,0.2,0.0737120019341555,-0.0025331125827814,0.0762451145169369,-0.0021337531402291,0.7473971116037852,0.0003807947019867,0.25213050186146,0.7489850640545808,0.0006456953642384,-0.0015879524507955711,-0.0002649006622517
ml1m,NGCF,1,legacy,legacy_a0.4,0.4,0.163495346497019,-0.0001490066225164,0.1636443531195354,0.0005586485809304,0.7491841102478398,0.0004966887417218,0.2548229035826195,0.7489850640545808,0.0006456953642384,0.00019904619325905593,-0.00014900662251660004
ml1m,NGCF,1,legacy,legacy_a0.8,0.8,0.3686123090055865,-0.0082284768211919,0.3768407858267784,-0.0006168497084958,0.7604724103494909,0.0001986754966887,0.2536474052931933,0.7489850640545808,0.0006456953642384,0.011487346294910106,-0.00044701986754970004
ml1m,NGCF,2,legacy,legacy_a0.2,0.2,0.073674890798248,-0.002367549668874,0.076042440467122,0.0007291695829192,0.7454774705809842,0.0006125827814569,0.2526684124133714,0.7430603502948601,0.0009602649006622,0.0024171202861241747,-0.0003476821192053
ml1m,NGCF,2,legacy,legacy_a0.4,0.4,0.1634516635935726,-0.0016887417218542,0.1651404053154268,0.0020907969566892,0.7448981075716784,0.0005960264900662,0.2540300397871414,0.7430603502948601,0.0009602649006622,0.0018377572768183414,-0.00036423841059600004
lastfm,NeuMF,0,kl,kl_lam2.0,2.0,0.1677256560444632,-0.0044055201698514,0.17213117621431462,-0.0050513576690033,0.8860039857230635,0.0005838641188959,0.1470179563649119,0.8847829381143709,0.0015392781316348,0.0012210476086925715,-0.0009554140127388999
lastfm,NeuMF,0,kl,kl_lam8.0,8.0,0.0392077642902811,-0.0040870488322717,0.043294813122552796,0.0026807950260209,0.8871716025840858,0.0005838641188959,0.1547501090599362,0.8847829381143709,0.0015392781316348,0.002388664469714863,-0.0009554140127388999
