dataset,model,model_raw,seed,label,family,F_out,OutputGain,Lexp_mean,Lexp_median,Lexp_Q75,Lexp_Q90,Lexp_Q95,l_exp_std,n_users,delta_Lexp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out,model_short,dataset_name,Q25_available,Lexp_Q25
lastfm,lightgcn,weighted_lightgcn,0,kl_lam0.5,kl,0.8418959944458512,0.0291401273885351,0.8634452471197668,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1312828283065174,1884,0.0213905648584257,0.0,0.0,0.0,0.0,-0.0563213454478797,0.0291401273885351,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,0,kl_lam2.0,kl,0.8599427035753628,0.0110934182590234,0.8787315251525472,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0874185796555523,1884,0.0061042868256453,0.0,0.0,0.0,0.0,-0.0124570967969145,0.0110934182590234,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,0,kl_lam8.0,kl,0.8671613872271675,0.0038747346072187,0.8828717609076691,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0779826859946431,1884,0.0019640510705234,0.0,0.0,0.0,0.0,-0.0030212031360054,0.0038747346072187,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,0,legacy_a0.1,legacy,0.86493208786411,0.0061040339702762,0.8818100723852678,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0790285084624371,1884,0.0030257395929247,0.0,0.0,0.0,0.0,-0.0040670256037993,0.0061040339702762,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,0,legacy_a0.2,legacy,0.8578195613248321,0.0132165605095542,0.8791028583132164,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0846411666800216,1884,0.005732953664976,0.0,0.0,0.0,0.0,-0.0096796838213839,0.0132165605095542,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,0,legacy_a0.4,legacy,0.8442845294776983,0.026751592356688,0.8740069526798034,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0945071856906697,1884,0.010828859298389,0.0,0.0,0.0,0.0,-0.0195457028320319,0.026751592356688,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,0,legacy_a0.8,legacy,0.8032017269299276,0.0678343949044586,0.8442289313982916,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1511985762146546,1884,0.0406068805799009,0.0,0.0,0.0,0.0,-0.0762370933560169,0.0678343949044586,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,baseline,baseline,0.8720976929596516,0.0,0.884676633502879,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0766447044570823,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,kl_lam0.1,kl,0.8163652088832185,0.055732484076433,0.8489541901927518,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.149680630328673,1884,0.0357224433101271,0.0,0.0,0.0,0.0,-0.0730359258715906,0.055732484076433,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,kl_lam0.5,kl,0.8446560793715412,0.0274416135881103,0.8647721327615913,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1288954545399118,1884,0.0199045007412876,0.0,0.0,0.0,0.0,-0.0522507500828294,0.0274416135881103,LightGCN,LastFM,False,
