dataset,model,model_raw,seed,label,family,user_group,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std
lastfm,bpr,weighted_bpr,1,legacy_a0.2,legacy,semi_mainstream,0.857607247099779,0.0128980891719745,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,1,legacy_a0.2,legacy,mainstream,0.857607247099779,0.0128980891719745,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,1,legacy_a0.4,legacy,niche,0.8415244445520083,0.0289808917197452,0.763450775641225,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.19232559070305633,465,0.07011096618083534,0.0,0.0,0.0,0.0,-0.04511023773602105
lastfm,bpr,weighted_bpr,1,legacy_a0.4,legacy,semi_niche,0.8415244445520083,0.0289808917197452,0.8979027527307115,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.018271142699553305,473,0.0021142608234202553,0.0,0.0,0.0,0.0,-0.018271142699552972
lastfm,bpr,weighted_bpr,1,legacy_a0.4,legacy,semi_mainstream,0.8415244445520083,0.0289808917197452,0.8998055970636454,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.00459314185674428,473,0.00021141649048639355,0.0,0.0,0.0,0.0,-0.004593141856743947
lastfm,bpr,weighted_bpr,1,legacy_a0.4,legacy,mainstream,0.8415244445520083,0.0289808917197452,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,1,legacy_a0.8,legacy,niche,0.7526178628110316,0.1178874734607219,0.6204298879971509,0.6000170135541314,0.7000170135541315,0.9000170135541314,0.9000170135541314,0.19442359017407046,465,0.2131318538249094,0.30000000000000004,0.19999999999999996,0.0,0.0,-0.04720823720703518
lastfm,bpr,weighted_bpr,1,legacy_a0.8,legacy,semi_niche,0.7526178628110316,0.1178874734607219,0.8632293092580953,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0898693082453167,473,0.036787704296036505,0.0,0.0,0.0,0.0,-0.08986930824531637
lastfm,bpr,weighted_bpr,1,legacy_a0.8,legacy,semi_mainstream,0.7526178628110316,0.1178874734607219,0.8968457661968379,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.02083069418478411,473,0.003171247357293905,0.0,0.0,0.0,0.0,-0.020830694184783775
lastfm,bpr,weighted_bpr,1,legacy_a0.8,legacy,mainstream,0.7526178628110316,0.1178874734607219,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
