dataset,model,model_raw,seed,label,family,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out
ml1m,bpr,weighted_bpr,2,kl_lam0.1,kl,0.4100018534828505,0.2681622516556291,0.556642851272963,0.5999190720258969,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.25804787570618043,6040,0.20021668331079379,0.19999999999999996,0.09999999999999998,0.0,0.0,-0.11607230634134796,0.2681622516556292
ml1m,bpr,weighted_bpr,2,kl_lam0.5,kl,0.531558144873579,0.1466059602649007,0.6318970463969186,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.2444298012750752,6040,0.1249624881868382,0.0998920960345292,0.0,0.0,0.0,-0.10245423191024272,0.1466059602649007
ml1m,bpr,weighted_bpr,2,kl_lam2.0,kl,0.6378329793106651,0.0403311258278146,0.7234699342750515,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.18138056025135224,6040,0.0333896003087053,0.0998920960345292,0.0,0.0,0.0,-0.039404990886519775,0.04033112582781462
ml1m,bpr,weighted_bpr,2,kl_lam8.0,kl,0.6822700654033804,-0.0041059602649007,0.7594410163696033,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.14410696689706415,6040,-0.0025814817858464956,0.0,0.0,0.0,0.0,-0.0021313975322316825,-0.004105960264900732
ml1m,bpr,weighted_bpr,2,legacy_a0.1,legacy,0.6665912574563605,0.0115728476821191,0.750735457528892,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.14900630161927078,6040,0.006124077054864729,0.0,0.0,0.0,0.0,-0.0070307322544383155,0.011572847682119192
ml1m,bpr,weighted_bpr,2,legacy_a0.2,legacy,0.6329243269847451,0.0452397781537345,0.726520503539929,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.16338478612551374,6040,0.030339031043827736,0.0998920960345292,0.0,0.0,0.0,-0.021409216760681277,0.04523977815373459
ml1m,bpr,weighted_bpr,2,legacy_a0.4,legacy,0.5773614130774604,0.1008026920610193,0.6699461462741869,0.7000269759913677,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.19102060187970796,6040,0.08691338830956985,0.0998920960345292,0.09999999999999998,0.0,0.0,-0.04904503251487549,0.10080269206101933
ml1m,bpr,weighted_bpr,2,legacy_a0.8,legacy,0.418967373342361,0.2591967317961186,0.5728232474091436,0.6000269759913677,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.24206694229906336,6040,0.18403628717461318,0.19989209603452918,0.09999999999999998,0.0,0.0,-0.1000913729342309,0.2591967317961187
ml1m,itemknn,weighted_itemknn,0,baseline,baseline,0.7438429130854995,0.0,0.8126535353733851,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11983951097389944,6040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml1m,itemknn,weighted_itemknn,0,kl_lam0.1,kl,0.3512601316285459,0.3925827814569536,0.5944292568025052,0.6000269759913677,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.22384908644370133,6040,0.2182242785708799,0.29989209603452915,0.09999999999999998,0.0,0.0,-0.10400957546980188,0.39258278145695363
ml1m,itemknn,weighted_itemknn,0,kl_lam0.5,kl,0.5460117872576851,0.1978311258278144,0.6918117459897777,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.2118453453966108,6040,0.12084178938360746,0.19989209603452918,0.0,0.0,0.0,-0.09200583442271135,0.19783112582781448
